Full_Name,User,Tweet
Perry Jones,@supe_jones,@supe_jones: RT @CoachMikeLondon: FYI  Recruiting Questionnaire: https://t.co/CLRi7MUaGIW &amp; M tradition :https://t.co/wusj7dktDa info about our FB prog…
Perry Jones,@supe_jones,@supe_jones: @Dyrell_Roberts @Therapyquotes_ Amen Coach
Perry Jones,@supe_jones,@supe_jones: RT @Dyrell_Roberts: FEBRUARY 2️⃣0️⃣2️⃣5️⃣ https://t.co/2O5Y2N2Z17
Perry Jones,@supe_jones,@supe_jones: Looking for Virginia’s best! https://t.co/dLIaHxSxK9
Perry Jones,@supe_jones,Delaware! I’m excited to meet and talk with some good coaches and players!
Perry Jones,@supe_jones,"I say all this to say it’s ok to have football as plan A, but just know that this thing is short and you have to be ok when it ends. Be ready to roll into something else and give it everything just like you would in football. Take your education seriously."
Perry Jones,@supe_jones,"I don’t know who this is for but football is not your life. I hate to tell you but it’s going to come to an end a lot sooner than you’d like. Whether that is 1 year, 4 years, or even 10 years. What do you have to fall back on. I was depressed for 2 years after it ended for me."
Perry Jones,@supe_jones,@supe_jones: The Slash Backs are back in Williamsburg! Time to get better!! #MADEmen #developmentmatters
Deshaun Watson,@deshaunwatson,@deshaunwatson: RT @CFBRep: Deshaun Watson’s 4th Quarter magic in the 2017 National Championship Game 🪄4 Days until CFB is BACK. https://t.co/oDMEz0CtAS
Deshaun Watson,@deshaunwatson,@deshaunwatson: RT @seldomusedres: “Watson to Renfrow for a gain of 2 yards.” https://t.co/JM5YgNuHv2
Deshaun Watson,@deshaunwatson,@deshaunwatson: RT @Browns: a dot in the end zone 😤
Deshaun Watson,@deshaunwatson,@deshaunwatson x @JeromeFord https://t.co/Z6czkuQOxC
Deshaun Watson,@deshaunwatson,@deshaunwatson: RT @Browns: corner pocket DOT to @jerryjeudy
Deshaun Watson,@deshaunwatson,@deshaunwatson | @OHLottery https://t.co/yXMpDgWoMT
Deshaun Watson,@deshaunwatson,@deshaunwatson: RT @MuniLotMenace: 4️⃣ tha kids @deshaunwatson https://t.co/XCxpQejq2p
Deshaun Watson,@deshaunwatson,@deshaunwatson: RT @FirstdownX__Os: Unbalanced Quick Pitch https://t.co/aOWZfywzlN
Deshaun Watson,@deshaunwatson,@deshaunwatson: RT @Browns: DW4 took some time to surprise the Rhodes High School football team before kickoff 🤙
Deshaun Watson,@deshaunwatson,@deshaunwatson | #DawgPound https://t.co/…
Deshaun Watson,@deshaunwatson,@deshaunwatson: RT @Browns: poetry in motion https://t.co/JunpFaqvjs
Deshaun Watson,@deshaunwatson,@deshaunwatson: RT @Browns: dynamic duo 🤞
